original_title,generated_title
Quasimap SYZ for toric Calabi-Yau manifolds,['SYZ mirrors from quasimap Floer theory']
"Robust Causal Estimation in the Large-Sample Limit without Strict
  Faithfulness",['Robust Causal Effect Estimation from Large-Sample Data']
"Randomized Linear Programming Solves the Discounted Markov Decision
  Problem In Nearly-Linear (Sometimes Sublinear) Running Time",['Randomized Linear Programming for the Discounted Markov Decision Problem']
On the Statistical Efficiency of Compositional Nonparametric Prediction,['A Compositional Nonparametric Method based on Trees']
"Adaptive mesh selection asymptotically guarantees a prescribed local
  error for systems of initial value problems",['Adaptive Mesh Selection for Systems of Initial Value Problems']
"Prediction with Dimension Reduction of Multiple Molecular Data Sources
  for Patient Survival",['Predictive modeling from multi-source genomic data with exploratory results from JIVE']
Super-Golden-Gates for PU(2),['Optimal strong approximation for PU(2) topological generators']
"Improving content marketing processes with the approaches by artificial
  intelligence",['Intelligent Content Marketing Approaches Using Artificial Intelligence']
Exchangeable pairs on Wiener chaos,['The Malliavin-Stein method and exchangeable pairs of Brownian motions']
"Adaptive quadrature by expansion for layer potential evaluation in two
  dimensions",['Adaptive Quadrature by Expansion for Layer Potential Evaluation']
Color Confinement and Spatial Dimensions in the Complex-sedenion Space,['Color Confinement in the Complex-sedenion Wavefunction']
Reconfigurable nano-scale spin-wave directional coupler,['Nano-scale spin-wave directional coupler']
Sharp rates of convergence for accumulated spectrograms,['Approximation by accumulated spectrograms in time-frequency localization']
"Common Envelope Wind Tunnel: Coefficients of Drag and Accretion in a
  Simplified Context for Studying Flows Around Objects Embedded Within Stellar
  Envelopes",['Wind tunneling around objects in common envelopes']
"GoDP: Globally optimized dual pathway system for facial landmark
  localization in-the-wild",['GoDP: Globally Optimized Dual Pathway Architecture for Facial Landmark Localization']
"Proceedings Tenth Workshop on Programming Language Approaches to
  Concurrency- and Communication-cEntric Software",['Proceedings Tenth Workshop on Programming Language Approaches to Concurrency- and Communication-cEntric Software']
"Proceedings 3rd International Workshop on Symbolic and Numerical Methods
  for Reachability Analysis",['Proceedings Third International Workshop on Symbolic and Numerical Methods for Reachability Analysis']
Dissipative Quantum Electromagnetics,['Dissipative Quantum Electromagnetics']
BLASFEO: basic linear algebra subroutines for embedded optimization,['BLASFEO: A High-Performance Dense Linear Algebra Library for Embedded Optimization']
"Mid-infrared frequency comb generation with silicon nitride
  nano-photonic waveguides",['Compact and versatile mid-infrared frequency comb generation using silicon nitride waveguides']
Dynamical Stochastic Higher Spin Vertex Models,['Dynamical Stochastic Higher Spin Vertex Models']
On the Incompatibility of Special Relativity and Quantum Mechanics,['On the Inconsistency between Special Relativity and Quantum Mechanics']
"Bose polarons in ultracold atoms in one dimension: beyond the Fr\""ohlich
  paradigm",['Non-perturbative renormalization group approach to Bose polarons in ultracold atoms']
R\'enyi entropy power inequality and a reverse,"[""Remarks on the R'enyi Entropy Power Inequality""]"
Learning Important Features Through Propagating Activation Differences,['Interpretable Neural Network Prediction by DeepLIFT']
"A New Steganographic Technique Matching the Secret Message and Cover
  image Binary Value",['A New Steganography Technique for Extracting LSB Values from an Image']
Spectral statistics for ensembles of various real random matrices,['Spacing statistics and distribution of eigenvalues of real random matrices']
"Prover efficient public verification of dense or sparse/structured
  matrix-vector multiplication",['Fast Public Verification of Sparse and Structured Matrices']
Group Importance Sampling for Particle Filtering and MCMC,['Group Importance Sampling and Sequential Importance Resampling']
"Multiscale Bayesian State Space Model for Granger Causality Analysis of
  Brain Signal",['Multiscale Bayesian state space model for Granger causality analysis of brain signal']
Coupled elasticity in soft solid foams,['Shear modulus of emulsion-based soft foams']
The quadratic M-convexity testing problem,['On the Complexity of Quadratic M-Convexity Testing']
"Eisenstein's criterion, Fermat's last theorem, and a conjecture on
  powerful numbers","[""Fermat's last theorem and Eisenstein's criterion for irreducible polynomials""]"
Opinion Polarization by Learning from Social Feedback,['Social Feedback and Polarization in Opinion Dynamics']
The Boolean SATisfiability Problem in Clifford algebra,['Boolean Satisfiability Problem in Spinor Language']
"Spectroscopic confirmation of an ultra-faint galaxy at the epoch of
  reionization",['Discovery of a Low-Luminosity Lyman-$alpha$ Galaxy at $z>7$']
Ultrasensitive micro-scale parity-time-symmetric ring laser gyroscope,['Non-Hermitian Exceptional Points for Ultra-sensitive Miniature Ring Laser Gyroscopes']
"Distinguishing quantum states using time travelling qubits in a presence
  of thermal environments",['Quantum circuits with time travel in weakly coupled thermal environments']
Stochastic Neural Networks for Hierarchical Reinforcement Learning,['Deep Reinforcement Learning with Stochastic Neural Networks and Information Regularizer']
Zeno chattering of rigid bodies with multiple point contacts,['Zeno behavior and complete chattering of rigid objects with multiple points hitting an immobile plane']
Horizon Detection and Higher Dimensional Black Rings,['Stationary Horizons of Black Rings']
The Cartan Algorithm in Five Dimensions,['Cartan Algorithm for Five Dimensional General Relativity']
Mining Object Parts from CNNs via Active Question-Answering,['Active Question-Answering for Part Localization in Deep Neural Networks']
Computing nearest stable matrix pairs,['Nearest stable matrix pair problem with dissipative Hamiltonian pairs']
"MultiBUGS: A parallel implementation of the BUGS modelling framework for
  faster Bayesian inference",['MultiBUGS: A multi-core parallel software package for Bayesian modelling and inference']
"Transfer of Vertical Graphene Nanosheets onto Flexible Substrates
  towards Supercapacitor Application",['Transfer of Vertical Graphene Nanosheets onto Arbitrary Flexible Substrates']
"Discovery of Scattering Polarization in the Hydrogen Lyman-$\alpha$ Line
  of the Solar Disk Radiation",['Discovery of Scattering Line Polarization in the Lyman-$alpha$ Line of the Solar UV Spectrum']
Nonlinear Unknown Input Observability: The General Analytic Solution,['General analytical solution of the unknown input observability problem']
"Energy Efficiency in Cell-Free Massive MIMO with Zero-Forcing Precoding
  Design",['Energy Efficiency of Cell-Free Massive MIMO Under Time Division Duplex']
Motivations for AdS/QCD from 10D supergravity solutions,['On some attempts for the construction of gravity duals of QCD-like theories']
"Localization and ballistic diffusion for the tempered fractional
  Brownian-Langevin motion",['Tempered fractional Brownian motion and the Fokker-Planck equation']
Goodness of Generalized Seniority in Semi-magic Nuclei,['Goodness of Generalized Seniority in Nuclear Pairing']
Source-Sensitive Belief Change,['Modeling Belief Revival Based on AGM']
Some Ostrowski type inequalities for double integrals On Time Scales,['Ostrowski and Trapezoid type inequalities for double integrals on Time Scales']
On partial sums of normalized q-Bessel functions,['Lower bounds for the ratio of some normalized $q$-Bessel functions']
Clarifying Trust in Social Internet of Things,['A Comprehensive Trust Model for Social Internet of Things']
"P\'olya Urn Latent Dirichlet Allocation: a doubly sparse massively
  parallel sampler",['Sparse Partially Collapsed Sampler for Latent Dirichlet Allocation']
"Appearance of inaccurate results in the MUSIC algorithm with
  inappropriate wavenumber",['Structure of MUSIC-type imaging functionals with inappropriate wavenumbers']
"Topological derivative-based technique for imaging thin inhomogeneities
  with few incident directions",['Optimal configuration of the topological derivative-based imaging function']
"Identification of Candidate Millisecond Pulsars from Fermi LAT
  Observations II",['Further Fermi un-associated gamma-ray millisecond pulsars identified from the Fermi Large Area Telescope third source catalog']
Comparison results for Proper Double Splittings of Rectangular Matrices,['Comparison of proper double splittings of a semi-monotone rectangular matrix']
"Ensemble classifier approach in breast cancer detection and malignancy
  grading- A review",['Ensemble based Classifier for Breast Cancer Malignancy Grading']
On the Quantitative Hardness of CVP,['SETH-Hardness of the Closest Vector Problem in the $ell_p$ Norm']
Quadratic Thurston maps with few postcritical points,['Enumeration of quadratic Thurston maps with few postcritical points']
Switching of magnetic ground states across the UIr1-xRhxGe alloy system,['Evolution of magnetism in the UIr1-xRhxGe system']
"The Fourier transform on the group $GL_2(R)$ and the action of the
  overalgebra $gl_4$",['Plancherel decomposition of the Lie algebra $GL_2(R)$']
"Entropy-Preserving Coupling Conditions for One-dimensional Euler Systems
  at Junctions",['Entropy-preserving coupling conditions for the Euler system at a junction of pipes']
Solving ill-posed inverse problems using iterative deep neural networks,['Partially Learned Gradient Schemes for Tomographic Inverse Problems']
On the gravitational instability in the Newtonian limit of MOG,['Analytical Cosmological Solutions to MOdified Gravity']
Reformulation of the symmetries of first-order general relativity,['New Gauge Symmetry of Gravity in n Dimensions']
Gbps User Rates Using mmWave Relayed Backhaul with High Gain Antennas,['Gbps User Rate Delivered Through Wireless Relay Networks: A Topology-Bandwidth-Power Joint Optimization Approach']
