original_titles,generated_titles
A fresh look at the determination of |V_cb| from B-> D^* l nu,['Revisiting the determination of $|V_cb|$ from $barB0rightarrow D*+l-barnu_l$ decays']
"On the Minimization of Convex Functionals of Probability Distributions
  Under Band Constraints",['Numerical algorithms for minimizing convex functionals of probability distributions']
Inference via low-dimensional couplings,['Transport Maps Between Random Variables and Inference in High Dimensions']
Scaling of Relativistic Shear Flows with Bulk Lorentz Factor,['Blazar versus Gamma-Ray Burst Jets: Their Emissions and Beaming Dependence on Bulk Lorentz Factor']
"Well-posedness of the non-local conservation law by stochastic
  perturbation",['Stochastic non-local conservation law equation with discontinuous fluxes']
"Accuracy Directly Controlled Fast Direct Solutions of General ${\cal
  H}^2$-Matrices and Its Application to Electrically Large
  Integral-Equation-Based Electromagnetic Analysis",['Accuracy-Controlled Direct Solution Algorithms for General Dense Matrices']
On Consistency of Graph-based Semi-supervised Learning,['On the Consistency of Graph-based Semi-supervised Learning']
"Deep Decentralized Multi-task Multi-Agent Reinforcement Learning under
  Partial Observability",['Decentralized Multi-task Multi-agent Reinforcement Learning with Partial Observability']
Cooperating with Machines,['Learning to Cooperate with Machines in Stochastic Games']
"Numerical Simulations of the Evolution of Solar Active Regions: the
  Complex AR12565 and AR12567",['Numerical Simulations of Two Closed Active Regions']
Rediscovery Datasets: Connecting Duplicate Reports,['Exploring the Inter-Relationships among Duplicate Defect Reports in Open Source Software']
"Stability for hyperplane complements of type B/C and statistics on
  squarefree polynomials over finite fields",['Asymptotic stability of statistics on squarefree polynomials over finite fields and the Grothendieck trace formula in type B/C']
Election Predictions as Martingales: An Arbitrage Approach,['An Arbitrage Approach to Estimating Binary Election Results']
"Building a Disciplinary, World-Wide Data Infrastructure",['The disciplinary culture of scientific data presentation']
"Algorithms for Semantic Segmentation of Multispectral Remote Sensing
  Imagery using Deep Learning",['Semantic Segmentation of Multispectral Imagery Using DCNN Initialization on RIT-18']
"Existence and uniqueness of steady weak solutions to the Navier-Stokes
  equations in $\mathbb{R}^2$",['On the existence and approximate properties of weak solutions to the Navier-Stokes equations in $mathbbR2$']
Reconstruction of $\alpha$-attractor supergravity models of inflation,['Reconstruction of $alpha$-attractor potential parameters and constraint on the postaccelerated inflationary phase']
"Acceleration of Convergence of Some Infinite Sequences
  $\boldsymbol{\{A_n\}}$ Whose Asymptotic Expansions Involve Fractional Powers
  of $\boldsymbol{n}$ via the $\tilde{d}^{(m)}$ transformation",['Accelerating series convergence and products by the $tilded(m)$ transformation']
Image denoising by median filter in wavelet domain,['Image De-Noising Using Wavelet Transform']
Distinct stick-slip modes in adhesive polymer interfaces,['Stick-slip modes of adhesive polymer interfaces']
Fractal Weyl laws and wave decay for general trapping,['Weyl upper bounds for scattering resonances and decay rates up to the Ehrenfest time']
"Proceedings International Workshop on Formal Engineering approaches to
  Software Components and Architectures",['Proceedings 14th International Workshop on Formal Engineering approaches to Software Components and Architectures']
A barotropic model of eddy saturation,['Minimal state formation in barotropic flows above topography']
Asymptotic performance of PCA for high-dimensional heteroscedastic data,['On the Asymptotic Performance of PCA for High-Dimensional and Heteroscedastic Data']
Power Beacon-Assisted Millimeter Wave Ad Hoc Networks,['A Tractable Model for Power Beacon-Assisted Millimeter Wave Wireless Ad Hoc Networks']
Random Walk Among Mobile/Immobile Traps: A Short Review,['Random walks among mobile obstacles and immobile traps']
"Verifying thermodynamic equilibrium of molecular manifolds:
  Kennard-Stepanov spectroscopy of a molecular gas","['Kennard-Stepanov Scaling of Absorption and Emission in Rubidium, Cesium, and Potassium Molecular Dimers']"
A KiDS weak lensing analysis of assembly bias in GAMA galaxy groups,['KiDS weak lensing as a probe of halo assembly bias in GAMA galaxy groups']
The Onsager--Machlup functional for data assimilation,['Onsager--Machlup Functional for Data Assimilation']
"Measuring ionizing radiation in the atmosphere with a new balloon-borne
  detector","['Development of a miniature scintillator-based detector for observation of cosmic rays, nuclei and energetic particles at the surface of the Earth']"
Graph-Variate Signal Analysis,['Graph-Variate Signal Analysis']
"Replacing Nothing with Something Special: Contextuality-by-Default and
  Dummy Measurements",['Contextuality-by-Default theory revisited']
Process algebra with strategic interleaving,['On Extensions of Process Algebras']
Energy Efficient Non-Cooperative Power Control in Small Cell Networks,['Distributed Energy Efficient Power Control in Self-Organizing Small Cell Networks']
"Symmetries and conservation laws of a nonlinear sigma model with
  gravitino",['Super Weyl Invariance and Conservation Laws in the Action Functional of the Nonlinear Sigma Model with Gravitino']
Real double flag varieties for the symplectic group,['Double flag varieties associated with real symplectic groups']
"The SK model is infinite step replica symmetry breaking at zero
  temperature",['The Parisi measure of the mixed p-spin model at zero temperature']
A Comparison of deep learning methods for environmental sound,['Comparative study of deep learning methods for environmental sound classification using DCASE 2016 task and data']
Exponential sums over finite fields and the large sieve,['Zero-density estimates for $ell$-adic trace functions over finite fields']
"Transition in a numerical model of contact line dynamics and forced
  dewetting",['Dynamic simulation of a Landau-Levich-Derjaguin film in forced dewetting']
Pseudorehearsal in value function approximation,['Pseudorehearsal for Q-learning in pole balancing']
Fog Computing for Sustainable Smart Cities: A Survey,['Fog Computing for Sustainable Smart Cities: A Survey']
Impulse response of the Bayreuth Festspielhaus,['Impulse Response of the Bayreuth Festspielhaus']
Cold ion chemistry,['Low-temperature studies of ion-molecule reactions']
"Initial-boundary value problems for fractional diffusion equations with
  time-dependent coeffcients",['Existence results for a fractional diffusion equation with Caputo time-fractional derivative']
"Exact Time-Dependent Solution to the Three-Dimensional Euler- Helmholtz
  and Riemann-Hopf Equations for Vortex Flow of a Compressible Medium and the
  Sixth Millennium Prize Problem",['Exact vortex solution of the three-dimensional Euler-Helmholtz and Riemann-Hopf equations in nonzero-divergence velocity fields for an ideal compressible medium']
"Optimal lower exponent for the higher gradient integrability of
  solutions to two-phase elliptic equations in two dimensions",['On the higher gradient integrability of distributional solutions to the equation $div(sigma nabla u) = 0$ in dimension two']
"Gaussian-Mixture-Model-based Cluster Analysis Finds Five Kinds of Gamma
  Ray Bursts in the BATSE Catalog","['Gamma Ray Bursts in the BATSE 4Br Catalog: Clustering, Variables, Initialization and Characterization']"
"Mathematical Model with Autoregressive Process for Electrocardiogram
  Signals",['Mathematical Model with Autoregressive Process to Model Cardiovascular Conditions']
"Observation of robust flat-band localization in driven photonic rhombic
  lattices",['Robust flat-band localization in a quasi-one-dimensional rhombic lattice']
"Can Attackers with Limited Information Exploit Historical Data to Mount
  Successful False Data Injection Attacks on Power Systems?",['Physical Consequences of Unobservable False Data Injection Attacks on Power Systems with Limited Information']
"On the fundamental solution and a variational formulation of a
  degenerate diffusion of Kolmogorov type",['Fundamental solution and discrete variational schemes for degenerate diffusions of Kolmogorov type']
"Linear feedback stabilization of point vortex equilibria near a Kasper
  Wing",['Linear feedback stabilization of point-vortex equilibria above a Kasper Wing']
"WannierTools: An open-source software package for novel topological
  materials",['WannierTools: a tool for novel topological materials investigation']
"Convergence Properties of Dynamic String Averaging Projection Methods in
  the Presence of Perturbations",['Convergence Rate Preserving Properties of Perturbed Products']
R-C3D: Region Convolutional 3D Network for Temporal Activity Detection,['R-C3D: Region Convolutional 3D Networks for Activity Detection']
"Burling graphs, chromatic number, and orthogonal tree-decompositions",['Tree-decompositions and the chromatic number of intersection graphs']
"Minimum Cuts and Shortest Cycles in Directed Planar Graphs via
  Noncrossing Shortest Paths",['Shortest Paths and Minimum Cuts in Planar Graphs']
Emergent Higgsless Superconductivity,['Higgsless anyon superconductivity']
"MSE estimates for multitaper spectral estimation and off-grid
  compressive sensing",['On the Mean Squared Error of Multitaper Spectral Estimation']
"Energy Spectra of Abundant Cosmic-ray Nuclei in Sources, According to
  the ATIC Experiment",['Comparison of ATIC energy spectra in sources and spectral indices']
Are crossing dependencies really scarce?,['Are crossings scarce in real sentences?']
Empirical study on social groups in pedestrian evacuation dynamics,['The impact of social groups on pedestrian evacuations']
"Sign changing solutions of p-fractional equations with concave-convex
  nonlinearities",['Sign changing solutions for p-fractional equations with concave-critical nonlinearities']
